经度,维度,,,,,0,0
117.2184236,31.71905444,1,80,道路,bd09,117.20642930422115,31.714981688886823
116.6614243,40.13635076,0,14,区县,bd09,116.64909270647647,40.12898778060986
117.2472044,31.73649396,0,75,交叉路口,bd09,117.23531999574382,31.73213370279916
106.7059123,26.47225629,1,80,道路,bd09,106.69572600460054,26.469607845952957
120.0901819,31.7739613,1,80,道路,bd09,120.07872081809309,31.769859267904486
112.9814651,22.61130967,0,60,工业园区,bd09,112.96973753787493,22.608575795347054
112.5973941,37.73025718,1,80,道路,bd09,112.58465104514188,37.723776114436234
121.2262708,28.90902102,0,40,道路,bd09,121.21557811327371,28.905781500409578
117.2261838,36.79974344,0,60,生活服务,bd09,117.21374956128714,36.79320999968101
119.0184751,33.50844897,0,25,乡镇,bd09,119.00653306060855,33.50385683534565
125.467987,43.98779711,1,80,道路,bd09,125.4547896967564,43.97979032125169
121.8110793,31.17183344,1,80,道路,bd09,121.80039606743559,31.16758086662257
121.5138341,31.1243847,0,25,道路,bd09,121.50283431168212,31.12081536625561
117.1143294,36.76161878,0,40,道路,bd09,117.10175673648776,36.75482636314355
113.0112352,23.04226672,0,30,村庄,bd09,112.99943971004954,23.03906691262158
123.5652816,41.74259769,0,30,村庄,bd09,123.55298616192488,41.73469828846342
113.8287737,34.53633092,1,80,UNKNOWN,bd09,113.81617895537147,34.5319572077718
108.3570197,22.71693996,1,80,道路,bd09,108.34651935645142,22.713394251810485
121.0046896,32.05161759,0,30,村庄,bd09,120.99369796634113,32.04777193974573
114.2251467,30.78190847,0,40,飞机场,bd09,114.21320741063218,30.77811791104212
120.4450079,30.24215387,0,30,飞机场,bd09,120.43392495527044,30.23865725888203
120.8364746,27.87463582,1,80,道路,bd09,120.82604022553728,27.87163112489056
113.314545,23.42108777,1,80,UNKNOWN,bd09,113.30262910848089,23.41759026229349
103.9794502,30.52012001,1,80,道路,bd09,103.97064255499384,30.517122559243862
120.6374623,30.02841693,1,75,港口/码头,bd09,120.62685307741069,30.025050642153552
116.6260153,40.054891,0,30,飞机场,bd09,116.61377005201982,40.04767518485808
119.1683779,36.71265155,0,10,城市,bd09,119.1561181114055,36.70585690022911
113.3198423,23.43890722,1,80,UNKNOWN,bd09,113.3078899946048,23.435490726783833
123.5009056,41.64341169,0,30,飞机场,bd09,123.48856258694775,41.63488168255727
87.57590844,43.861394,0,16,区县,bd09,87.56653369370174,43.85420254070979
121.1716487,30.02938666,1,80,道路,bd09,121.16067127315853,30.025815768732432
119.2254386,36.6372288,0,20,道路,bd09,119.21305451120547,36.63127737218259
120.5797671,27.93916193,0,50,工业园区,bd09,120.56936695478656,27.936505631861582
103.9802961,36.0034173,0,60,生活服务,bd09,103.97123217933705,35.99802331404385
103.9693962,30.55734233,1,80,道路,bd09,103.96067644528445,30.554271866162264
116.612088,39.77053406,1,80,政府机构,bd09,116.59977511982117,39.76357897192518
120.6120339,31.7895922,0,40,道路,bd09,120.60143033289206,31.785383821871815
108.9118015,22.87298905,0,80,政府机构,bd09,108.90138946998931,22.870313188358743
108.9749118,34.26816396,0,50,道路,bd09,108.96376363396675,34.26339687942009
119.1072812,36.71153285,1,80,地产小区,bd09,119.09471658295755,36.70538068047271
106.6871995,29.799769,0,50,生活服务,bd09,106.6768936906377,29.796180009254098
120.0541422,30.87023833,0,30,道路,bd09,120.04270854805289,30.866635968773842
117.2637406,39.11891451,0,30,道路,bd09,117.25104399140527,39.11171543541328
118.1322844,36.88478395,0,80,商务大厦,bd09,118.11960268350504,36.87844187789582
121.6356424,39.04158099,0,80,道路,bd09,121.62404909133168,39.035033409759805
108.9534012,34.29914811,0,16,区县,bd09,108.94232762333327,34.29446601474447
115.8936369,28.76443429,0,40,道路,bd09,115.88228290173001,28.761804286147772
120.3938044,36.2721234,0,30,飞机场,bd09,120.38214574110168,36.2657377261137
116.7910885,39.54895249,1,80,道路,bd09,116.77859725512128,39.54170073248069
119.2066,34.56748905,1,80,道路,bd09,119.19448288440368,34.56270398399023
119.608004,32.06522204,1,80,UNKNOWN,bd09,119.59651197645121,32.06158102765419
115.5329119,38.89751051,0,18,区县,bd09,115.52029403174238,38.89083812273943
117.2534571,34.30330167,0,50,工业园区,bd09,117.24134898743435,34.29825371232031
119.9309301,32.36489967,0,75,交叉路口,bd09,119.91965175241897,32.361380230062316
118.0269883,24.60421115,1,80,道路,bd09,118.01553334285498,24.601348121653615
119.4484499,32.28709426,1,80,生活服务,bd09,119.43647038428158,32.283215431108054
120.1892998,33.33399789,0,30,道路,bd09,120.17783783202682,33.329845909234464
119.7327466,29.07292328,0,40,道路,bd09,119.72141336196603,29.06984535422822
118.1042515,39.53298524,0,40,道路,bd09,118.09136579205837,39.52538314052871
119.0913321,25.37666236,1,80,UNKNOWN,bd09,119.07986051786524,25.373517923989372
110.4250408,20.00373487,0,60,道路,bd09,110.41411370982415,19.999489662999203
121.2067541,37.5592036,0,50,工业园区,bd09,121.19529592989755,37.55195264621303
